year,region,industry,pounds_per_hour_worked,age_16_17,age_18_24,age_25_34,age_35_49,age_50_64,age_65
1997,uk,ALLINDUSTRIES,18.944359394999644,704681,3214449,6982164,9584406,5559752,436452
1998,uk,ALLINDUSTRIES,19.33210556765507,699759,3205344,6945319,9702716,5786198,434918
1999,uk,ALLINDUSTRIES,19.84538912229874,671999,3236595,6927359,9865703,5974804,452900
2000,uk,ALLINDUSTRIES,20.913670406885604,662484,3266551,6849872,10083139,6144471,453920
2001,uk,ALLINDUSTRIES,21.503336866108935,666815,3315357,6699440,10244028,6333598,439847
2002,uk,ALLINDUSTRIES,22.59514101620642,655283,3390317,6526772,10418305,6448022,477301
2003,uk,ALLINDUSTRIES,23.85997939445567,646134,3424404,6391481,10582555,6636573,518603
2004,uk,ALLINDUSTRIES,24.950850969090034,629666,3527495,6327961,10732783,6745743,534733
2005,uk,ALLINDUSTRIES,25.881178462014653,599906,3529812,6370062,10893779,6864420,575823
2006,uk,ALLINDUSTRIES,27.15037828281241,547002,3583629,6371849,10995014,6998840,618474
2007,uk,ALLINDUSTRIES,28.218387329951163,528756,3607389,6396439,11072241,7103336,638677
2008,uk,ALLINDUSTRIES,29.146482666374514,526065,3597412,6464772,11117054,7243256,689860
2009,uk,ALLINDUSTRIES,29.09378361570894,435744,3379227,6368237,11003268,7269466,735051
2010,uk,ALLINDUSTRIES,29.847018165310182,380897,3344252,6438571,10881802,7331502,827132
2011,uk,ALLINDUSTRIES,30.219027359759675,354649,3325005,6550503,10827312,7439061,879249
2012,uk,ALLINDUSTRIES,30.583811122586887,351998,3338146,6637875,10798638,7574412,939990
2013,uk,ALLINDUSTRIES,31.217503602335178,330018,3339583,6804375,10705559,7805142,1029524
2014,uk,ALLINDUSTRIES,31.816358106171382,325449,3456350,6968013,10784454,8053485,1112464
2015,uk,ALLINDUSTRIES,32.49760463088102,361872,3547160,7076895,10784041,8290109,1170405
2016,uk,ALLINDUSTRIES,32.932357538643615,353006,3588164,7247416,10753316,8549304,1203583
