industry,industry_group,country,value
A,"Agriculture, forestry and fishing",Belgium,25.666164046112716
A,"Agriculture, forestry and fishing",Bulgaria,2.600903884657278
A,"Agriculture, forestry and fishing",Czech Republic,14.059709219430738
A,"Agriculture, forestry and fishing",Denmark,31.74844376084907
A,"Agriculture, forestry and fishing",Germany,19.497268885904244
A,"Agriculture, forestry and fishing",Estonia,16.888828145448624
A,"Agriculture, forestry and fishing",Ireland,9.591132922908013
A,"Agriculture, forestry and fishing",Greece,5.210344775950185
A,"Agriculture, forestry and fishing",Spain,19.887198189658797
A,"Agriculture, forestry and fishing",France,18.03665404018438
A,"Agriculture, forestry and fishing",Croatia,6.929568598013016
A,"Agriculture, forestry and fishing",Italy,10.513915007770224
A,"Agriculture, forestry and fishing",Cyprus,6.659444925776628
A,"Agriculture, forestry and fishing",Latvia,6.589355134047178
A,"Agriculture, forestry and fishing",Lithuania,7.373407595448802
A,"Agriculture, forestry and fishing",Luxembourg,45.3330877128813
A,"Agriculture, forestry and fishing",Hungary,10.46666116676291
A,"Agriculture, forestry and fishing",Netherlands,34.2962455736582
A,"Agriculture, forestry and fishing",Austria,8.913166226074349
A,"Agriculture, forestry and fishing",Poland,4.10980319551287
A,"Agriculture, forestry and fishing",Portugal,5.537473194860172
A,"Agriculture, forestry and fishing",Romania,1.984814093597721
A,"Agriculture, forestry and fishing",Slovenia,4.70952843209319
A,"Agriculture, forestry and fishing",Slovakia,26.193605894388245
A,"Agriculture, forestry and fishing",Finland,16.099877342173237
A,"Agriculture, forestry and fishing",Sweden,18.351986183049966
A,"Agriculture, forestry and fishing",United Kingdom,13.60585098264209
A,"Agriculture, forestry and fishing",Norway,19.970741685199975
A,"Agriculture, forestry and fishing",Switzerland,8.29373598253101
BCDE,Industry (except construction),Belgium,60.19409442148983
BCDE,Industry (except construction),Bulgaria,12.304375983997106
BCDE,Industry (except construction),Czech Republic,23.72004017216236
BCDE,Industry (except construction),Denmark,68.35846137281982
BCDE,Industry (except construction),Germany,52.43710306144793
BCDE,Industry (except construction),Estonia,17.08604087092467
BCDE,Industry (except construction),Ireland,72.69760735142366
BCDE,Industry (except construction),Greece,27.0745445133026
BCDE,Industry (except construction),Spain,44.38977416278082
BCDE,Industry (except construction),France,47.50528786657205
BCDE,Industry (except construction),Croatia,14.181170385121792
BCDE,Industry (except construction),Italy,36.409605010564846
BCDE,Industry (except construction),Cyprus,16.99435516784062
BCDE,Industry (except construction),Latvia,15.128084906607379
BCDE,Industry (except construction),Lithuania,22.91286099935352
BCDE,Industry (except construction),Luxembourg,51.18177188463291
BCDE,Industry (except construction),Hungary,22.33904360844332
BCDE,Industry (except construction),Netherlands,57.89436540019707
BCDE,Industry (except construction),Austria,47.06401536644957
BCDE,Industry (except construction),Poland,17.32030176976795
BCDE,Industry (except construction),Portugal,22.571197875719363
BCDE,Industry (except construction),Romania,16.334907616672247
BCDE,Industry (except construction),Slovenia,24.36653471942327
BCDE,Industry (except construction),Slovakia,24.173612177214117
BCDE,Industry (except construction),Finland,49.0255770650141
BCDE,Industry (except construction),Sweden,52.33732488713485
BCDE,Industry (except construction),United Kingdom,43.64804329843655
BCDE,Industry (except construction),Norway,144.8668170486416
BCDE,Industry (except construction),Switzerland,66.16981938533519
F,Construction,Belgium,38.875636319675095
F,Construction,Bulgaria,9.65628874416506
F,Construction,Czech Republic,13.176580024942009
F,Construction,Denmark,24.296773562015332
F,Construction,Germany,20.687573800989785
F,Construction,Estonia,13.679279719096751
F,Construction,Ireland,25.15028260820223
F,Construction,Greece,15.91199866064496
F,Construction,Spain,34.858223349049574
F,Construction,France,24.922213892493758
F,Construction,Croatia,14.690133130543717
F,Construction,Italy,26.37087461468024
F,Construction,Cyprus,16.32755105005824
F,Construction,Latvia,12.876720948119496
F,Construction,Lithuania,16.51165016764474
F,Construction,Luxembourg,26.817043844728605
F,Construction,Hungary,12.63562326024755
F,Construction,Netherlands,25.56691373856942
F,Construction,Austria,30.35337645886777
F,Construction,Poland,14.020818277988385
F,Construction,Portugal,19.46037148581657
F,Construction,Romania,16.120418641789744
F,Construction,Slovenia,21.43437754135037
F,Construction,Slovakia,21.70216386459677
F,Construction,Finland,18.734527309240463
F,Construction,Sweden,20.00005974054992
F,Construction,United Kingdom,23.759840567086897
F,Construction,Norway,30.22459521819936
F,Construction,Switzerland,23.37681744318345
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Belgium,41.93782280681983
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Bulgaria,8.787119938891205
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Czech Republic,15.501727233340032
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Denmark,34.50570596037249
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Germany,29.749803938777724
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Estonia,14.98199133224867
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Ireland,25.012768962605946
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Greece,13.549916336622935
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Spain,23.12435507799611
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",France,32.254398476251275
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Croatia,11.301189069697992
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Italy,24.551166792579075
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Cyprus,18.66310989078456
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Latvia,13.350245532069986
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Lithuania,20.37052049719945
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Luxembourg,53.57625271840184
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Hungary,13.172047522086128
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Netherlands,34.89759590928291
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Austria,32.86642715279919
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Poland,17.3471824969292
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Portugal,17.315535280437214
