industry,industry_group
A,agriculture forestry fishing
B,mining quarrying
C,manufacturing
D,electricity gas steam air conditioning supply
E,water supply sewerage waste remediation activities
F,construction
G,wholesale retail trade repair of motor vehicles and motorcycles
H,transport storage
I,accommodation food service activities
J,information communication
K,financial insurance activities
L,real estate activities
M,professional scientific technical activities
N,administrative support service activities
O,public admin defence compulsory social security
P,education
Q,human health social work activities
R,arts entertainment recreation
S,other service activities
T,people employed by households etc
