year,region,industry,pounds_per_hour_worked,quarter,avg_jobs_000,industry_group
1997,northeast,ABDE,25.032135565680505,1997 Q1,26,"agriculture, mining, water, electricity"
1997,northeast,ABDE,25.032135565680505,1997 Q2,26,"agriculture, mining, water, electricity"
1997,northeast,ABDE,25.032135565680505,1997 Q3,26,"agriculture, mining, water, electricity"
1997,northeast,ABDE,25.032135565680505,1997 Q4,24,"agriculture, mining, water, electricity"
1997,northeast,C,17.582609489824442,1997 Q1,206,manufacturing
1997,northeast,C,17.582609489824442,1997 Q2,205,manufacturing
1997,northeast,C,17.582609489824442,1997 Q3,198,manufacturing
1997,northeast,C,17.582609489824442,1997 Q4,199,manufacturing
1997,northeast,F,11.436520212063389,1997 Q1,72,construction
1997,northeast,F,11.436520212063389,1997 Q2,81,construction
1997,northeast,F,11.436520212063389,1997 Q3,77,construction
1997,northeast,F,11.436520212063389,1997 Q4,83,construction
1997,northeast,G,12.289494380894379,1997 Q1,166,wholesale retail trade repair of motor vehicles and motorcycles
1997,northeast,G,12.289494380894379,1997 Q2,173,wholesale retail trade repair of motor vehicles and motorcycles
1997,northeast,G,12.289494380894379,1997 Q3,175,wholesale retail trade repair of motor vehicles and motorcycles
1997,northeast,G,12.289494380894379,1997 Q4,176,wholesale retail trade repair of motor vehicles and motorcycles
1997,northeast,H,13.265296331671722,1997 Q1,44,transport storage
1997,northeast,H,13.265296331671722,1997 Q2,43,transport storage
1997,northeast,H,13.265296331671722,1997 Q3,45,transport storage
1997,northeast,H,13.265296331671722,1997 Q4,47,transport storage
1997,northeast,I,6.593476804808131,1997 Q1,64,accommodation food service activities
1997,northeast,I,6.593476804808131,1997 Q2,64,accommodation food service activities
1997,northeast,I,6.593476804808131,1997 Q3,63,accommodation food service activities
1997,northeast,I,6.593476804808131,1997 Q4,69,accommodation food service activities
1997,northeast,J,25.040366732924973,1997 Q1,20,information communication
1997,northeast,J,25.040366732924973,1997 Q2,20,information communication
1997,northeast,J,25.040366732924973,1997 Q3,20,information communication
1997,northeast,J,25.040366732924973,1997 Q4,21,information communication
1997,northeast,K,24.553293818917503,1997 Q1,22,financial insurance activities
1997,northeast,K,24.553293818917503,1997 Q2,23,financial insurance activities
1997,northeast,K,24.553293818917503,1997 Q3,22,financial insurance activities
1997,northeast,K,24.553293818917503,1997 Q4,22,financial insurance activities
1997,northeast,L,381.62061946618826,1997 Q1,7,real estate activities
1997,northeast,L,381.62061946618826,1997 Q2,8,real estate activities
1997,northeast,L,381.62061946618826,1997 Q3,7,real estate activities
1997,northeast,L,381.62061946618826,1997 Q4,8,real estate activities
1997,northeast,M,10.968469627640882,1997 Q1,47,professional scientific technical activities
1997,northeast,M,10.968469627640882,1997 Q2,51,professional scientific technical activities
1997,northeast,M,10.968469627640882,1997 Q3,51,professional scientific technical activities
1997,northeast,M,10.968469627640882,1997 Q4,51,professional scientific technical activities
1997,northeast,N,8.574843810892563,1997 Q1,59,administrative support service activities
1997,northeast,N,8.574843810892563,1997 Q2,66,administrative support service activities
1997,northeast,N,8.574843810892563,1997 Q3,68,administrative support service activities
1997,northeast,N,8.574843810892563,1997 Q4,69,administrative support service activities
1997,northeast,O,13.233557073735511,1997 Q1,79,public admin defence compulsory social security
1997,northeast,O,13.233557073735511,1997 Q2,75,public admin defence compulsory social security
1997,northeast,O,13.233557073735511,1997 Q3,72,public admin defence compulsory social security
1997,northeast,O,13.233557073735511,1997 Q4,74,public admin defence compulsory social security
1997,northeast,P,16.775554983614043,1997 Q1,79,education
1997,northeast,P,16.775554983614043,1997 Q2,80,education
1997,northeast,P,16.775554983614043,1997 Q3,81,education
1997,northeast,P,16.775554983614043,1997 Q4,82,education
1997,northeast,Q,12.566768342587375,1997 Q1,131,human health social work activities
1997,northeast,Q,12.566768342587375,1997 Q2,129,human health social work activities
1997,northeast,Q,12.566768342587375,1997 Q3,131,human health social work activities
1997,northeast,Q,12.566768342587375,1997 Q4,133,human health social work activities
1997,northeast,R,8.725241011197719,1997 Q1,25,arts entertainment recreation
1997,northeast,R,8.725241011197719,1997 Q2,26,arts entertainment recreation
1997,northeast,R,8.725241011197719,1997 Q3,25,arts entertainment recreation
1997,northeast,R,8.725241011197719,1997 Q4,25,arts entertainment recreation
1997,northeast,ST,16.82132267961481,1997 Q1,27,other services and domestic
1997,northeast,ST,16.82132267961481,1997 Q2,29,other services and domestic
1997,northeast,ST,16.82132267961481,1997 Q3,33,other services and domestic
1997,northeast,ST,16.82132267961481,1997 Q4,33,other services and domestic
1997,northwest,ABDE,21.430780000343084,1997 Q1,70,"agriculture, mining, water, electricity"
1997,northwest,ABDE,21.430780000343084,1997 Q2,72,"agriculture, mining, water, electricity"
1997,northwest,ABDE,21.430780000343084,1997 Q3,69,"agriculture, mining, water, electricity"
1997,northwest,ABDE,21.430780000343084,1997 Q4,68,"agriculture, mining, water, electricity"
1997,northwest,C,18.75550959612183,1997 Q1,553,manufacturing
1997,northwest,C,18.75550959612183,1997 Q2,564,manufacturing
1997,northwest,C,18.75550959612183,1997 Q3,553,manufacturing
1997,northwest,C,18.75550959612183,1997 Q4,549,manufacturing
1997,northwest,F,12.296424622554051,1997 Q1,201,construction
1997,northwest,F,12.296424622554051,1997 Q2,202,construction
1997,northwest,F,12.296424622554051,1997 Q3,197,construction
1997,northwest,F,12.296424622554051,1997 Q4,203,construction
1997,northwest,G,12.876611185540524,1997 Q1,558,wholesale retail trade repair of motor vehicles and motorcycles
1997,northwest,G,12.876611185540524,1997 Q2,562,wholesale retail trade repair of motor vehicles and motorcycles
1997,northwest,G,12.876611185540524,1997 Q3,559,wholesale retail trade repair of motor vehicles and motorcycles
1997,northwest,G,12.876611185540524,1997 Q4,556,wholesale retail trade repair of motor vehicles and motorcycles
1997,northwest,H,15.550196126634159,1997 Q1,143,transport storage
1997,northwest,H,15.550196126634159,1997 Q2,142,transport storage
1997,northwest,H,15.550196126634159,1997 Q3,138,transport storage
1997,northwest,H,15.550196126634159,1997 Q4,138,transport storage
1997,northwest,I,7.597515205944353,1997 Q1,194,accommodation food service activities
1997,northwest,I,7.597515205944353,1997 Q2,199,accommodation food service activities
1997,northwest,I,7.597515205944353,1997 Q3,199,accommodation food service activities
1997,northwest,I,7.597515205944353,1997 Q4,209,accommodation food service activities
1997,northwest,J,19.390290895372758,1997 Q1,70,information communication
1997,northwest,J,19.390290895372758,1997 Q2,70,information communication
1997,northwest,J,19.390290895372758,1997 Q3,66,information communication
