year,industry,industry_group,avg_jobs_000
1998,A,agriculture forestry fishing,457.75
1998,B,mining quarrying,77
1998,C,manufacturing,4284.75
1998,D,electricity gas steam air conditioning supply,105
1998,E,water supply sewerage waste remediation activities,164
1998,F,construction,1889.5
1998,G,wholesale retail trade repair of motor vehicles and motorcycles,4888.5
1998,H,transport storage,1324.5
1998,I,accommodation food service activities,1761.25
1998,J,information communication,979
1998,K,financial insurance activities,1112.25
1998,L,real estate activities,286
1998,M,professional scientific technical activities,1683.5
1998,N,administrative support service activities,2004.25
1998,O,public admin defence compulsory social security,1597
1998,P,education,2052.5
1998,Q,human health social work activities,2923.75
1998,R,arts entertainment recreation,659.75
1998,S,other service activities,731.25
1998,T,people employed by households etc,82.5
1999,A,agriculture forestry fishing,420.75
1999,B,mining quarrying,76.25
1999,C,manufacturing,4120.75
1999,D,electricity gas steam air conditioning supply,99.75
1999,E,water supply sewerage waste remediation activities,161.5
1999,F,construction,1906.5
1999,G,wholesale retail trade repair of motor vehicles and motorcycles,4881.75
1999,H,transport storage,1361.25
1999,I,accommodation food service activities,1808.25
1999,J,information communication,1066.25
1999,K,financial insurance activities,1146.25
1999,L,real estate activities,291.75
1999,M,professional scientific technical activities,1759.5
1999,N,administrative support service activities,2054.75
1999,O,public admin defence compulsory social security,1635
1999,P,education,2144.5
1999,Q,human health social work activities,2966
1999,R,arts entertainment recreation,718.25
1999,S,other service activities,767.25
1999,T,people employed by households etc,82
2000,A,agriculture forestry fishing,391
2000,B,mining quarrying,76.5
2000,C,manufacturing,3978.75
2000,D,electricity gas steam air conditioning supply,96.25
2000,E,water supply sewerage waste remediation activities,161.75
2000,F,construction,1936.25
2000,G,wholesale retail trade repair of motor vehicles and motorcycles,4909.5
2000,H,transport storage,1376.75
2000,I,accommodation food service activities,1822.5
2000,J,information communication,1147
2000,K,financial insurance activities,1150.5
2000,L,real estate activities,309.25
2000,M,professional scientific technical activities,1817.25
2000,N,administrative support service activities,2117.25
2000,O,public admin defence compulsory social security,1641.25
2000,P,education,2234.75
2000,Q,human health social work activities,3049
2000,R,arts entertainment recreation,742
2000,S,other service activities,810.5
2000,T,people employed by households etc,79.5
2001,A,agriculture forestry fishing,363
2001,B,mining quarrying,75
2001,C,manufacturing,3802.75
2001,D,electricity gas steam air conditioning supply,101.5
2001,E,water supply sewerage waste remediation activities,172.75
2001,F,construction,1983.25
2001,G,wholesale retail trade repair of motor vehicles and motorcycles,4984
2001,H,transport storage,1407.25
2001,I,accommodation food service activities,1848.25
2001,J,information communication,1207
2001,K,financial insurance activities,1182.5
2001,L,real estate activities,322
2001,M,professional scientific technical activities,1856
2001,N,administrative support service activities,2193.25
2001,O,public admin defence compulsory social security,1650.75
2001,P,education,2234.25
2001,Q,human health social work activities,3133.5
2001,R,arts entertainment recreation,762.5
2001,S,other service activities,811.75
2001,T,people employed by households etc,108.5
2002,A,agriculture forestry fishing,355
2002,B,mining quarrying,69
2002,C,manufacturing,3608
2002,D,electricity gas steam air conditioning supply,98
2002,E,water supply sewerage waste remediation activities,163
2002,F,construction,2008.75
2002,G,wholesale retail trade repair of motor vehicles and motorcycles,5026
2002,H,transport storage,1415.75
2002,I,accommodation food service activities,1903.5
2002,J,information communication,1213
2002,K,financial insurance activities,1194.75
2002,L,real estate activities,331.75
2002,M,professional scientific technical activities,1875.75
2002,N,administrative support service activities,2205.25
2002,O,public admin defence compulsory social security,1689.75
2002,P,education,2305.25
2002,Q,human health social work activities,3210.25
2002,R,arts entertainment recreation,785.75
2002,S,other service activities,831.5
2002,T,people employed by households etc,142.25
2003,A,agriculture forestry fishing,356.25
2003,B,mining quarrying,61.5
2003,C,manufacturing,3423.25
2003,D,electricity gas steam air conditioning supply,91.75
2003,E,water supply sewerage waste remediation activities,156.25
2003,F,construction,2068.25
2003,G,wholesale retail trade repair of motor vehicles and motorcycles,5017
2003,H,transport storage,1430.5
2003,I,accommodation food service activities,1956.5
2003,J,information communication,1226.25
2003,K,financial insurance activities,1189.75
2003,L,real estate activities,341.25
2003,M,professional scientific technical activities,1959.25
2003,N,administrative support service activities,2213.25
